Graphics and Multimedia ,Samsung Hall,2,Mr. Tewodros,1,2,R,IT
Mobile Programming Tutorial ,NB113,2,Mr. Michael S.,1,2,R,IT
Software Engineering I Tutorial ,NB107,2,Mr. Lisanu,1,2,R,IT
Mobile Programming Lab ,NB113,2,Mr. Michael S.,1,2,R,IT
Mobile Programming,NB107,2,Mr. Eyob W.,1,2,R,IT
Software Engineering I ,NB107,2,Mr. Lisanu,1,2,R,IT
Fundamentals of Networking,NB108,2,Mr. Abreham A.,1,2,R,IT
Graphics and Multimedia Tutorial ,NB113,2,Mr. Amanuel,1,2,R,IT
Basic Writing Skills,NB002B,1,Someone 2,2,1,R,SE
Fundamentals of Information Technology Tutorial ,Green Lab,1,Miss Sofanit,1,1,R,SE
Applied Mathematics II,NB008,1,Someone 3,2,1,R,SE
Fundamentals of Information Technology ,NB107,1,Mr. Nebiat,1,1,R,SE
Fundamentals of Information Technology Lab,Green Lab,1,Miss Sofanit,1,1,R,SE
Fundamentals of Electrical Circuits Tutorial ,NB003B,1,Mr. Tegbabu,2,1,R,SE
Fundamentals of Computer Science,Samsung Hall,1,Mr. Abreham G.,1,1,R,SE
Fundamentals of Computer Science Lab ,Green Lab,1,Mr. Tewodros,1,1,R,SE
Fundamentals of Electrical Circuits ,NB112,1,Dr. Vittapu,1,1,R,SE
Fundamentals of Computer Science Tutorial ,Green Lab,1,Mr. Tewodros,1,1,R,SE
Fundamentals of Electrical Circuits Lab ,NB111,1,Mr. Tegbabu,1,1,R,SE
Basic Writing Skills,NB002B,2,Someone 2,2,1,R,SE
Fundamentals of Electrical Circuits ,NB108,2,Dr. Vittapu,1,1,R,SE
Applied Mathematics II,NB008,2,Someone 3,2,1,R,SE
Fundamentals of Information Technology ,NB107,2,Mr. Nebiat,1,1,R,SE
Fundamentals of Electrical Circuits Tutorial ,NB111,2,Mr. Tegbabu,1,1,R,SE
Fundamentals of Computer Science Tutorial ,Orange Lab,2,Mr. Yemane,1,1,R,SE
Fundamentals of Information Technology Lab ,Green Lab,2,Miss Sofanit,1,1,R,SE
Fundamentals of Information Technology Tutorial ,Green Lab,2,Miss Sofanit,1,1,R,SE
Fundamentals of Computer Science ,Samsung Hall,2,Mr. Yemane,1,1,R,SE
Fundamentals of Computer Science Lab,Orange Lab,2,Mr. Abreham G.,1,1,R,SE
Fundamentals of Electrical Circuits Lab ,NB111,2,Mr. Yemane,1,1,R,SE
Fundamentals of Computer Science Tutorial,Green Lab,3,Mr. Belete,1,1,R,SE
Basic Writing Skills,NB002B,3,Someone 2,2,1,R,SE
Applied Mathematics II,NB008,3,Someone,2,1,R,SE
Fundamentals of Computer Science Lab,Green Lab,3,Mr. Belete,1,1,R,SE
Fundamentals of Electrical Circuits Lab ,NB-003A,3,Mr. Tegbabu,1,1,R,SE
Fundamentals of Computer Science ,Samsung Hall,3,Mr. Abreham G.,1,1,R,SE
Fundamentals of Information Technology Tutorial ,Orange Lab,3,Miss Sofanit,1,1,R,SE
Fundamentals of Electrical Circuits Tutorial ,NB108,3,Mr. Tegbabu,1,1,R,SE
Fundamentals of Electrical Circuits ,NB112,3,Dr. Vittapu,1,1,R,SE
